Участок;Наименование оборудования;Инвентарный номер
Намотка обмоток;Горизонтальный намоточный станок типа 10тн HWPN 12,5;010300566
Намотка обмоток;Горизонтальный намоточный станок типа 10тн HWPN 12,5;010300567
Намотка обмоток;Горизонтальный намоточный станок типа 10тн HWPN 12,5;010300568
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300569
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300570
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300571
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300573
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300574
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300575
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300576
Намотка обмоток;Горизонтальный намоточный станок типа HWPN 7;010300577
Намотка обмоток;Станок для намотки электропровода на катушки грузопод.4000кг.,380 В OA10Q/60/OM;010300333
Намотка обмоток;Станок для намотки электропровода на катушки грузопод.700кг.,380В,трехфазный N ;010300338 
Намотка обмоток;"Разжимная оправка типа ""зонтик"" наружный диаметр-830-1500 мм,длина рейки-3200 мм,кол.реек-20шт. N 01";010300346
Намотка обмоток;"Разжимная оправка типа ""зонтик"" наружный диаметр-830-1500 мм,длина рейки-3200 мм,кол.реек-20шт. N 01";010300347
Намотка обмоток;"Разжимная оправка типа ""зонтик"" наружный диаметр-830-1500 мм,длина рейки-3200 мм,кол.реек-20шт. N 01";010300348
Намотка обмоток;Вертикальный намоточный ВОВ VF 3000 ;010300691
Намотка обмоток;Вертикальный намоточный ВОВ VF 3000 ;010300691
Намотка обмоток;Вертикальный намоточный ВОВ VF 3000 ;010300691
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300694
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300695
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300696
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300732
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300473
Намотка обмоток;"Разжимная оправка типа ""зонтик""";010300733
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300527
Намотка обмоток;Оправка разжимная АХ.050.12.000 ;010300528
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300367    
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300368
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300709
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300480     
Намотка обмоток;Оправка разжимная АХ.050.12.000;010300479  
Намотка обмоток;Оправка разжимная АХ.050.10.000;010300708
Намотка обмоток;Оправка разжимная АХ.050.10.000;010300710 
Намотка обмоток;Разжимная оправка типа зонтик 800/1500 мм;010300545
Намотка обмоток;Разжимная оправка типа зонтик 800/1500 мм;010300546
Намотка обмоток;Разжимная оправка типа зонтик 800/1500 мм;010300547
Намотка обмоток;Разжимная оправка типа зонтик 1400/2200 мм;010300548
Намотка обмоток;Разжимная оправка типа зонтик 1400/2200 мм;010300549
Намотка обмоток;Разжимная оправка типа зонтик 1400/2200 мм;010300550
Намотка обмоток;Оправка разжимнаяФ 1300-1800 L=2930 N 010300464;010300464
Намотка обмоток;Оправка разжимнаяФ 1300-1800 L=2930 N 010300464;010300479
Намотка обмоток;Шаблон для  намотки  катушек раздвижной 75780-01;010300364
Намотка обмоток;Шаблон для  намотки  катушек раздвижной 75780-01;010300365
Намотка обмоток;"Подборщик заказов ""LEMA""LM YM-33 N 010300288";010300288
Намотка обмоток;Гидрооборудование для запрессовки блоков обмоток на III-ей сборке при изготовлении трансформатора MEE20 M31CG;010300698
